0,37
0,58
0,5
1,62
1,42
1,18
2,29
2,41
2,75
3,87
3,88
3,36
4,42
4,96
4,70
5,59
5,41
5,96
6,36
6,58
6,53
7,54
7,75
7,6
8,29
8,29
8,85
9,35
9,96
9,67
10,88
10,29
10,96
11,45
11,42
11,59
12,99
12,62
12,62
13,55
13,16
13,30
14,43
14,63
14,84
15,65
15,42
15,75
16,36
16,72
16,89
17,36
17,88
17,27
18,11
18,37
18,29
19,94
19,4
19,92
20,62
20,49
20,32
21,16
21,87
21,72
22,55
22,10
22,85
23,30
23,45
23,34
24,10
24,85
24,49
25,84
25,89
25,36
26,73
26,20
26,10
27,39
27,36
27,36
28,68
28,95
28,45
29,60
29,36
29,2
30,59
30,6
30,60
31,19
31,89
31,40
32,10
32,81
32,96
33,4
33,34
33,18
34,57
34,82
34,40
35,39
35,25
35,70
36,32
36,88
36,60
37,36
37,60
37,96
38,5
38,65
38,45
39,5
39,62
39,68
40,59
40,10
40,1
41,95
41,84
41,37
42,22
42,41
42,29
43,96
43,18
43,41
44,96
44,41
44,19
45,57
45,45
45,6
46,65
46,87
46,12
47,40
47,20
47,49
48,67
48,86
48,88
49,64
49,89
49,86
50,30
50,36
50,2
51,19
51,90
51,10
52,88
52,29
52,42
53,10
53,99
53,58
54,16
54,6
54,63
55,81
55,70
55,65
56,58
56,10
56,30
57,36
57,42
57,84
58,19
58,36
58,67
59,86
59,99
59,7
60,36
60,0
60,56
61,30
61,36
61,10
62,64
62,88
62,71
63,20
63,71
63,36
64,88
64,39
64,47
65,5
65,22
65,96
66,89
66,58
66,58
67,42
67,75
67,95
68,72
68,73
68,88
69,37
69,5
69,62
70,0
70,29
70,27
71,85
71,42
71,73
72,96
72,29
72,64
73,60
73,22
73,64
74,62
74,30
74,16
75,45
75,25
75,6
76,3
76,55
76,36
77,36
77,49
77,23
78,70
78,45
78,82
79,57
79,25
79,27
80,45
80,85
80,86
81,65
81,65
81,67
82,58
82,19
82,29
83,1
83,10
83,58
84,89
84,89
84,27
85,34
85,67
85,69
86,42
86,63
86,37
87,64
87,53
87,10
88,88
88,12
88,34
89,96
89,6
89,59
90,29
90,95
90,7
91,60
91,16
91,53
92,77
92,6
92,73
93,34
93,86
93,89
94,94
94,19
94,73
95,99
95,86
95,37
96,19
96,96
96,52
97,10
97,32
97,30
98,30
98,55
98,45
99,85
99,11
99,55
